Key,Desc,Default,English
Number of people currently playing Tabletop Simulator,,Number of people currently playing Tabletop Simulator,Number of people currently playing Tabletop Simulator
Number of puzzle pieces.,,Number of puzzle pieces.,Number of puzzle pieces.
OC,,OC,OC
Objects,,Objects,Objects
Objects Per Group,,Objects Per Group,Objects Per Group
Objects are not hidden in hands.,,Objects are not hidden in hands.,Objects are not hidden in hands.
Objects in queue.,,Objects in queue.,Objects in queue.
Objects snap to both the lines and the center of the grid.,,Objects snap to both the lines and the center of the grid.,Objects snap to both the lines and the center of the grid.
Objects snap to center of each grid location.,,Objects snap to center of each grid location.,Objects snap to center of each grid location.
Objects snap to line intersections.,,Objects snap to line intersections.,Objects snap to line intersections.
Objects will be hidden in area.,,Objects will be hidden in area.,Objects will be hidden in area.
"Objects will only be included in a drag selection if this is enabled, or if the player holds the key.",,"Objects will only be included in a drag selection if this is enabled, or if the player holds the key.","Objects will only be included in a drag selection if this is enabled, or if the player holds the key."
Oceanic Proxy,,Oceanic Proxy,Oceanic Proxy
Octagon,,Octagon,Octagon
Off,,Off,Off
Offset,,Offset,Offset
Offset for the Field of View of Fog of War revealed.,,Offset for the Field of View of Fog of War revealed.,Offset for the Field of View of Fog of War revealed.
Ogre,,Ogre,Ogre
Ok,,Ok,Ok
Old school way to connect with IP and Port.,,Old school way to connect with IP and Port.,Old school way to connect with IP and Port.
On-Screen Keyboard,,On-Screen Keyboard,On-Screen Keyboard
On-screen Keyboard Echo,,On-screen Keyboard Echo,On-screen Keyboard Echo
On-screen Keyboard Scale,,On-screen Keyboard Scale,On-screen Keyboard Scale
One Last Thing! Time for some mayhem! Press the 'Flip' button on the top bar!,,"One Last Thing! Time for some mayhem!
Press the 'Flip' button on the top bar!","One Last Thing! Time for some mayhem!
Press the 'Flip' button on the top bar!"
Only invited people can join.,,Only invited people can join.,Only invited people can join.
Only the hand owner can see in their hand.,,Only the hand owner can see in their hand.,Only the hand owner can see in their hand.
Only your friends can join.,,Only your friends can join.,Only your friends can join.
Opacity,,Opacity,Opacity
Opacity Of Drop Indicator,,Opacity Of Drop Indicator,Opacity Of Drop Indicator
Opacity Of Spawn Indicator,,Opacity Of Spawn Indicator,Opacity Of Spawn Indicator
Open,,Open,Open
Open folder in OS,,Open folder in OS,Open folder in OS
Opposing players' pointers will be hidden in area.,,Opposing players' pointers will be hidden in area.,Opposing players' pointers will be hidden in area.
Options,,Options,Options
Options -) Info,,Options -> Info,Options -> Info
Orange,,Orange,Orange
Orc,,Orc,Orc
Order,,Order,Order
Orient Object Delay,,Orient Object Delay,Orient Object Delay
Original Controls,,Original Controls,Original Controls
Original Games,,Original Games,Original Games
Overwrite,,Overwrite,Overwrite
Overwrite theme {0}?,,Overwrite theme {0}?,Overwrite theme {0}?
Overwrite {0}?,,Overwrite {0}?,Overwrite {0}?
PDF File,,PDF File,PDF File
PDF Viewer,,PDF Viewer,PDF Viewer
PERMISSIONS,,Permissions,Permissions
PM (Global),,PM (Global),PM (Global)
PM (In Game),,PM (In Game),PM (In Game)
Pachisi,,Pachisi,Pachisi
Pad Icons Always On,,Pad Icons Always On,Pad Icons Always On
Pad Up = Teleport,,Pad Up = Teleport,Pad Up = Teleport
Padding,,Padding,Padding
Page,,Page,Page
Page Offset,,Page Offset,Page Offset
Painting,,Painting,Painting
Pan,,Pan,Pan
Pan Camera,,Pan Camera,Pan Camera
Particle Effects,,Particle Effects,Particle Effects
Party Games,,Party Games,Party Games
Pass Turns,,Pass Turns,Pass Turns
Password,,Password,Password
Paste,,Paste,Paste
"Paste clipboard, replacing text.",,"Paste clipboard, replacing text.","Paste clipboard, replacing text."
Pawn,,Pawn,Pawn
Pawn Cast Iron,,Pawn Cast Iron,Pawn Cast Iron
Pawn Chrome,,Pawn Chrome,Pawn Chrome
Pawn Dark,,Pawn Dark,Pawn Dark
Pawn Light,,Pawn Light,Pawn Light
Pawn Supporters,,Pawn Supporters,Pawn Supporters
Peek Cards & Objects,,Peek Cards & Objects,Peek Cards & Objects
Peeking,,Peeking,Peeking
Pen,,Pen,Pen
Perfect! Now let's move the entire deck of cards.,,Perfect! Now let's move the entire deck of cards.,Perfect! Now let's move the entire deck of cards.
Persistent,,Persistent,Persistent
Physical UI Screen,,Physical UI Screen,Physical UI Screen
Physics,,Physics,Physics
Physics are slightly toned down. Objects that are at rest will no longer interact with other objects.,,Physics are slightly toned down. Objects that are at rest will no longer interact with other objects.,Physics are slightly toned down. Objects that are at rest will no longer interact with other objects.
Pick Up,,Pick Up,Pick Up
Picture-in-Picture,,Picture-in-Picture,Picture-in-Picture
Piecepack,,Piecepack,Piecepack
Pieces,,Pieces,Pieces
Ping to player,,Ping to player,Ping to player
Pink,,Pink,Pink
Pivot,,Pivot,Pivot
Pivot Point,,Pivot Point,Pivot Point
Pixel,,Pixel,Pixel
Pixel Paint,,Pixel Paint,Pixel Paint
Placeholder,,Placeholder,Placeholder
Plastic,,Plastic,Plastic
Play Area,,Play Area,Play Area
Play Scripts,,Play Scripts,Play Scripts
"Play a solo game, or create your own custom games. Great for prototyping and testing.",,"Play a solo game, or create your own custom games. Great for prototyping and testing.","Play a solo game, or create your own custom games. Great for prototyping and testing."
"Play by yourself, great for creating games or playing solo games.",,"Play by yourself, great for creating games or playing solo games.","Play by yourself, great for creating games or playing solo games."
Play games with people online.,,Play games with people online.,Play games with people online.
Play on the same computer with multiple people.,,Play on the same computer with multiple people.,Play on the same computer with multiple people.
Play with multiple people on the same computer taking turns.,,Play with multiple people on the same computer taking turns.,Play with multiple people on the same computer taking turns.
Play with other people.,,Play with other people.,Play with other people.
Player 1,,Player 1,Player 1
Player 1's Turn,,Player 1's Turn,Player 1's Turn
Player Name,,Player Name,Player Name
Player Names,,Player Names,Player Names
Player Pawns,,Player Pawns,Player Pawns
Players,,Players,Players
Players on the same team can see each others hidden info and communicate with team text chat and team voice chat .,,Players on the same team can see each others hidden info and communicate with team text chat and team voice chat .,Players on the same team can see each others hidden info and communicate with team text chat and team voice chat .
Playing Time,,Playing Time,Playing Time
Playlist,,Playlist,Playlist
Please enter password,,Please enter password,Please enter password
Please pickup the card using ({0}) on either controller.,,Please pickup the card using <{0}> on either controller.,Please pickup the card using <{0}> on either controller.
Please pickup the card using your finger.,,Please pickup the card using your finger.,Please pickup the card using your finger.
Please pickup the card with (Left Mouse Button).,,Please pickup the card with <Left Mouse Button>.,Please pickup the card with <Left Mouse Button>.
Please pickup the card with (Right Bumper).,,Please pickup the card with <Right Bumper>.,Please pickup the card with <Right Bumper>.
Point,,Point,Point
Pointer,,Pointer,Pointer
Pointer - Zoom (Click) - Pan Camera (Hold),,Pointer / Zoom (Click) / Pan Camera (Hold),Pointer / Zoom (Click) / Pan Camera (Hold)
Poker,,Poker,Poker
Poker Chips,,Poker Chips,Poker Chips
Pop-out,,Pop-out,Pop-out
Port (11155 is default),,Port (11155 is default),Port (11155 is default)
Port (Default is 11155),,Port (Default is 11155),Port (Default is 11155)
Portraits,,Portraits,Portraits
Position,,Position,Position
Position of the anchor relative to the connected Rigidbody.,,Position of the anchor relative to the connected Rigidbody.,Position of the anchor relative to the connected Rigidbody.
Post AA,,Post AA,Post AA
Post processing sharpen effect to enhance the clarity of textures.,,Post processing sharpen effect to enhance the clarity of textures.,Post processing sharpen effect to enhance the clarity of textures.
"Precise drawing, draw on locked objects, and change the color. +-- to scale the thickness.",,"Precise drawing, draw on locked objects, and change the color. +/- to scale the thickness.","Precise drawing, draw on locked objects, and change the color. +/- to scale the thickness."
Preset Quality,,Preset Quality,Preset Quality
Presets,,Presets,Presets
Press (Space) to reset the camera.,,Press <Space> to reset the camera.,Press <Space> to reset the camera.
Press F11 to quickly hide the UI. SHIFT + F11 for HD Screenshots,,Press F11 to quickly hide the UI. SHIFT + F11 for HD Screenshots,Press F11 to quickly hide the UI. SHIFT + F11 for HD Screenshots
"Press and hold the left mouse button to pick up objects. Grab and hold to pick up stacks and decks. To grab a single item from stacks and decks, grab and move your mouse off the deck quickly.",,"Press and hold the left mouse button to pick up objects. Grab and hold to pick up stacks and decks. To grab a single item from stacks and decks, grab and move your mouse off the deck quickly.","Press and hold the left mouse button to pick up objects. Grab and hold to pick up stacks and decks. To grab a single item from stacks and decks, grab and move your mouse off the deck quickly."
Press and hold your finder on the deck for a second then drag.,,Press and hold your finder on the deck for a second then drag.,Press and hold your finder on the deck for a second then drag.
Press or the middle mouse button to quickly zoom to where your mouse is pointing.,,Press or the middle mouse button to quickly zoom to where your mouse is pointing.,Press or the middle mouse button to quickly zoom to where your mouse is pointing.
Press plus a number to load up a saved camera view. You can also do this in the Global Contextual Menu.,,Press plus a number to load up a saved camera view. You can also do this in the Global Contextual Menu.,Press plus a number to load up a saved camera view. You can also do this in the Global Contextual Menu.
Press the key to bring down the curtain as your blindfold. You can also bring this up in the Global Contextual Menu.,,Press the key to bring down the curtain as your blindfold. You can also bring this up in the Global Contextual Menu.,Press the key to bring down the curtain as your blindfold. You can also bring this up in the Global Contextual Menu.
Press the key to magnify everything on the table. You can also zoom in & out with the scroll wheel on your mouse.,,Press the key to magnify everything on the table. You can also zoom in & out with the scroll wheel on your mouse.,Press the key to magnify everything on the table. You can also zoom in & out with the scroll wheel on your mouse.
Press the key to quickly bring up the main menu.,,Press the key to quickly bring up the main menu.,Press the key to quickly bring up the main menu.
"Press to lower an object you're holding or to pick up other objects. Alternatively, you can press down with the right mouse button.",,"Press to lower an object you're holding or to pick up other objects. Alternatively, you can press down with the right mouse button.","Press to lower an object you're holding or to pick up other objects. Alternatively, you can press down with the right mouse button."
Press to talk to only those people on the same team as you.,,Press to talk to only those people on the same team as you.,Press to talk to only those people on the same team as you.
Preview,,Preview,Preview
Previous State,,Previous State,Previous State
Primary,,Primary,Primary
Private,,Private,Private
Profanity Filter,,Profanity Filter,Profanity Filter
Progress,,Progress,Progress
Projection,,Projection,Projection
Promote,,Promote,Promote
Promoted,,Promoted,Promoted
Props,,Props,Props
Proxy,,Proxy,Proxy
"Proxy servers will increase latency for clients, but should ensure a connection. Clients will only connect through the proxy server as a last resort.",,"Proxy servers will increase latency for clients, but should ensure a connection. Clients will only connect through the proxy server as a last resort.","Proxy servers will increase latency for clients, but should ensure a connection. Clients will only connect through the proxy server as a last resort."
Public,,Public,Public
Pure,,Pure,Pure
Pure Mode: Floor Mist,,Pure Mode: Floor Mist,Pure Mode: Floor Mist
Pure Mode: Hide Custom Image,,Pure Mode: Hide Custom Image,Pure Mode: Hide Custom Image
Purple,,Purple,Purple
Push To Talk,,Push To Talk,Push To Talk
Puzzle Games,,Puzzle Games,Puzzle Games
Quarter,,Quarter,Quarter
Queen,,Queen,Queen
Queen Cast Iron,,Queen Cast Iron,Queen Cast Iron
Queen Chrome,,Queen Chrome,Queen Chrome
Queen Dark,,Queen Dark,Queen Dark
Queen Light,,Queen Light,Queen Light
Queen Supporters,,Queen Supporters,Queen Supporters
Quick Zoom,,Quick Zoom,Quick Zoom
Quick tap on an object.,,Quick tap on an object.,Quick tap on an object.
Quick way to change graphical settings without having to tweak individual options. Only use low or very low if you have FPS issues.,,Quick way to change graphical settings without having to tweak individual options. Only use low or very low if you have FPS issues.,Quick way to change graphical settings without having to tweak individual options. Only use low or very low if you have FPS issues.
Quickly drag away from the deck.,,Quickly drag away from the deck.,Quickly drag away from the deck.
Quit playing.,,Quit playing.,Quit playing.
REMOVE BLINDFOLD,,Remove Blindfold,Remove Blindfold
RESET_SCALE,,Reset Scale,Reset Scale
RIGHT_THEN_DOWN,,Right / Down,Right / Down
RIGHT_THEN_UP,,Right / Up,Right / Up
RIGIDBODY,,Rigidbody,Rigidbody
ROTATIONS,,Rotations,Rotations
RPG,,RPG,RPG
RPG Attack,,RPG Attack,RPG Attack
RPG Die,,RPG Die,RPG Die
RPG Figurines - Protofactor,,RPG Figurines - Protofactor,RPG Figurines - Protofactor
"RPG Figurines are fully animated. Use 1, 2, 3 to activate.",,"RPG Figurines are fully animated. Use 1, 2, 3 to activate.","RPG Figurines are fully animated. Use 1, 2, 3 to activate."
RPG Kit,,RPG Kit,RPG Kit
RPG Mode,,RPG Mode,RPG Mode
Raise,,Raise,Raise
Raise-Randomize,,Raise/Randomize,Raise/Randomize
Random,,Random,Random
Random Card,,Random Card,Random Card
Random Domino,,Random Domino,Random Domino
Random Mahjong,,Random Mahjong,Random Mahjong
Randomize,,Randomize,Randomize
Randomize - Raise,,Randomize / Raise,Randomize / Raise
Randomize Zone Tags,,Randomize Zone Tags,Randomize Zone Tags
Randomize all objects in this zone?,,Randomize all objects in this zone?,Randomize all objects in this zone?
Randomizes rotation when shaken and spins when thrown.,,Randomizes rotation when shaken and spins when thrown.,Randomizes rotation when shaken and spins when thrown.
Randomly play an audioclip from a the playlist?,,Randomly play an audioclip from a the playlist?,Randomly play an audioclip from a the playlist?
Range of Fog of War revealed.,,Range of Fog of War revealed.,Range of Fog of War revealed.
Ranger,,Ranger,Ranger
ReHide Objects,,Re-Hide Objects,Re-Hide Objects
Read more on our Knowledge Base.,,Read more on our Knowledge Base.,Read more on our Knowledge Base.
Real,,Real,Real
Rectangle,,Rectangle,Rectangle
Rectangle (Rounded),,Rectangle (Rounded),Rectangle (Rounded)
Red,,Red,Red
Red 100,,Red 100,Red 100
Red Square,,Red Square,Red Square
Reflection Intensity,,Reflection Intensity,Reflection Intensity
Refresh server list,,Refresh server list,Refresh server list
Regal,,Regal,Regal
Region,,Region,Region
Remove all {0} controls?,,Remove all {0} controls?,Remove all {0} controls?
Remove block on {0}?,,Remove block on {0}?,Remove block on {0}?
Rename,,Rename,Rename
Rename theme?,,Rename theme?,Rename theme?
Render Drawing over UI,,Render Drawing Over UI,Render Drawing Over UI
Repeat current audioclip?,,Repeat current audioclip?,Repeat current audioclip?
Reset,,Reset,Reset
Reset All,,Reset All,Reset All
Reset Camera,,Reset Camera,Reset Camera
Reset Data,,Reset Data,Reset Data
Reset Fog,,Reset Fog,Reset Fog
Reset View,,Reset View,Reset View
Reset the camera!,,Reset the camera!,Reset the camera!
Reset to Default,,Reset to Default,Reset to Default
Reset to default Light scheme (CTRL-F12),,Reset to default Light scheme (CTRL-F12),Reset to default Light scheme (CTRL-F12)
"Resets all saved data (General, Controls, UI, etc).",,"Resets all saved data (General, Controls, UI, etc).","Resets all saved data (General, Controls, UI, etc)."
Resets the camera to its default position based on your seat position. This can be overridden by saving a camera view by pressing + .,,Resets the camera to its default position based on your seat position. This can be overridden by saving a camera view by pressing + .,Resets the camera to its default position based on your seat position. This can be overridden by saving a camera view by pressing + .
Resolution,,Resolution,Resolution
Resume Game,,Resume Game,Resume Game
Reveal Color,,Reveal Color,Reveal Color
Reveal FoV,,Reveal FoV,Reveal FoV
Reveal FoV Offset,,Reveal FoV Offset,Reveal FoV Offset
Reveal Fog of War,,Reveal Fog of War,Reveal Fog of War
Reveal Height,,Reveal Height,Reveal Height
Reveal Range,,Reveal Range,Reveal Range
Reveal to all.,,Reveal to all.,Reveal to all.
Reveal to blue.,,Reveal to blue.,Reveal to blue.
Reveal to brown.,,Reveal to brown.,Reveal to brown.
Reveal to green.,,Reveal to green.,Reveal to green.
Reveal to orange.,,Reveal to orange.,Reveal to orange.
Reveal to pink.,,Reveal to pink.,Reveal to pink.
Reveal to purple.,,Reveal to purple.,Reveal to purple.
Reveal to red.,,Reveal to red.,Reveal to red.
Reveal to teal.,,Reveal to teal.,Reveal to teal.
Reveal to white.,,Reveal to white.,Reveal to white.
Reveal to yellow.,,Reveal to yellow.,Reveal to yellow.
Revealer,,Revealer,Revealer
Reverse,,Reverse,Reverse
Reverse Hiding,,Reverse Hiding,Reverse Hiding
Reverse Order,,Reverse Order,Reverse Order
Reversed,,Reversed,Reversed
ReversedSort,,When enabled the sort order inside a group is reversed.,When enabled the sort order inside a group is reversed.
Reverses the turn order from the default.,,Reverses the turn order from the default.,Reverses the turn order from the default.
Reversi,,Reversi,Reversi
Reversi Chip,,Reversi Chip,Reversi Chip
Rewind Time,,Rewind Time,Rewind Time
Right,,Right,Right
Right Pad Down,,Right Pad Down,Right Pad Down
Right Tool Hotkeys,,Right Tool Hotkeys,Right Tool Hotkeys
Right click on an object for more options.,,"Right click on an object
for more options.","Right click on an object
for more options."
Right click on non-objects for global menu options.,,"Right click on non-objects for
global menu options.","Right click on non-objects for
global menu options."
Rock,,Rock,Rock
Role-playing Games,,Role-playing Games,Role-playing Games
Roll,,Roll,Roll
Rook,,Rook,Rook
Rook Cast Iron,,Rook Cast Iron,Rook Cast Iron
Rook Chrome,,Rook Chrome,Rook Chrome
Rook Dark,,Rook Dark,Rook Dark
Rook Light,,Rook Light,Rook Light
Rook Supporters,,Rook Supporters,Rook Supporters
Rooms,,Rooms,Rooms
Rotate,,Rotate,Rotate
Rotate Camera,,Rotate Camera,Rotate Camera
Rotate Camera - Reset (Click),,Rotate Camera / Reset (Click),Rotate Camera / Reset (Click)
Rotate Left,,Rotate Left,Rotate Left
Rotate Other Axis,,Rotate Other Axis,Rotate Other Axis
Rotate Right,,Rotate Right,Rotate Right
Rotate Snap,,Rotate Snap,Rotate Snap
"Rotate snap points are the same as the snap points, except you can change the rotation position. So if you turned a snap point 30 degrees to the right, when you place an object on top if it, it will snap into place and also rotate 30 degrees.",,"Rotate snap points are the same as the snap points, except you can change the rotation position. So if you turned a snap point 30 degrees to the right, when you place an object on top if it, it will snap into place and also rotate 30 degrees.","Rotate snap points are the same as the snap points, except you can change the rotation position. So if you turned a snap point 30 degrees to the right, when you place an object on top if it, it will snap into place and also rotate 30 degrees."
Rotation,,Rotation,Rotation
Rotation Degrees,,Rotation Degrees,Rotation Degrees
Rotation Value,,Rotation Value,Rotation Value
Round,,Round,Round
Round Glass,,Round Glass,Round Glass
Rounded,,Rounded,Rounded
Ruler mode,,Ruler mode,Ruler mode
Rules,,Rules,Rules
SAVE & EXIT,,Save & Exit,Save & Exit
SAVE & LOAD,,Save & Load,Save & Load
SAVE GAME,,Save Game,Save Game
SAVED OBJECTS,,Saved Objects,Saved Objects
SERVER,,Server,Server
SORT_BY_ADDED,,Added Time,Added Time
SORT_BY_DESC,,Description,Description
SORT_BY_GM,,GM Notes,GM Notes
SORT_BY_MEMO,,Memo,Memo
SORT_BY_NAME,,Name,Name
SORT_BY_VALUE,,Value,Value
SORT_NONE,,None,None
SOUND,,Sound,Sound
SOUTHWARD,,Southward,Southward
SPOTLIGHT,,Spotlight,Spotlight
SSAO,,SSAO,SSAO
STAR_FOLDER,,Star Folder,Star Folder
SUBMIT,,Submit,Submit
Sandbox,,Sandbox,Sandbox
Saturation,,Saturation,Saturation
Save,,Save,Save
Save & Play,,Save & Play,Save & Play
Save Camera,,Save Camera,Save Camera
Save Camera View,,Save Camera View,Save Camera View
Save Object,,Save Object,Save Object
Save Object(s),,Save Object(s),Save Object(s)
Save a game you have playing for a long time and load it up again when you're ready to play it again.,,Save a game you have playing for a long time and load it up again when you're ready to play it again.,Save a game you have playing for a long time and load it up again when you're ready to play it again.
Save current theme as...,,Save current theme as...,Save current theme as...
Save to Chest,,Save to Chest,Save to Chest
Saves scripting changes to the last open save and reloads the game with any script changes. Any changes that were not script related will be lost.,,Saves scripting changes to the last open save and reloads the game with any script changes. Any changes that were not script related will be lost.,Saves scripting changes to the last open save and reloads the game with any script changes. Any changes that were not script related will be lost.
Saving,,Saving,Saving
Scale,,Scale,Scale
Scale Down,,Scale Down,Scale Down
Scale Up,,Scale Up,Scale Up
Scaling,,Scaling,Scaling
"Scaling applied to card only, not to base.",,"Scaling applied to card only, not to base.","Scaling applied to card only, not to base."
Scripting,,Scripting,Scripting
Scripting 1,,Scripting 1,Scripting 1
Scripting 10,,Scripting 10,Scripting 10
Scripting 2,,Scripting 2,Scripting 2
Scripting 3,,Scripting 3,Scripting 3
Scripting 4,,Scripting 4,Scripting 4
Scripting 5,,Scripting 5,Scripting 5
Scripting 6,,Scripting 6,Scripting 6
Scripting 7,,Scripting 7,Scripting 7
Scripting 8,,Scripting 8,Scripting 8
Scripting 9,,Scripting 9,Scripting 9
Scripting Editor,,Scripting Editor,Scripting Editor
Scripting Zone Tags,,Scripting Zone Tags,Scripting Zone Tags
Scripting: Automated,,Scripting: Automated,Scripting: Automated
Search,,Search,Search
Search privately without others being able to see what's inside.,,Search privately without others being able to see what's inside.,Search privately without others being able to see what's inside.
Search publicly with others being able to see what's inside.,,Search publicly with others being able to see what's inside.,Search publicly with others being able to see what's inside.
Secondary,,Secondary,Secondary
Seconds,,Seconds,Seconds
See everyone who has contributed to Tabletop Simulator's development.,,See everyone who has contributed to Tabletop Simulator's development.,See everyone who has contributed to Tabletop Simulator's development.
See-through,,See-through,See-through
Select,,Select,Select
Selection Height,,Selection Height,Selection Height
Selection Style,,Selection Style,Selection Style
Selects the microphone to use for Voice Chat.,,Selects the microphone to use for Voice Chat.,Selects the microphone to use for Voice Chat.
Semi-Lock,,Semi-Lock,Semi-Lock
Server Browser,,Server Browser,Server Browser
Server IP,,Server IP,Server IP
Server Name,,Server Name,Server Name
Server Password,,Server Password,Server Password
Server Type,,Server Type,Server Type
Set Camera 0,,Set Camera 0,Set Camera 0
Set UI Visibility,,Set UI Visibility,Set UI Visibility
Sets the Radius,,Sets the Radius,Sets the Radius
Shadow Quality,,Shadow Quality,Shadow Quality
Shadow Technique,,Shadow Technique,Shadow Technique
Shadow rendering technique. PCF is the Unity default. PCSS is a more computationally expensive technique that produces more realistic shadows.,,Shadow rendering technique. PCF is the Unity default. PCSS is a more computationally expensive technique that produces more realistic shadows.,Shadow rendering technique. PCF is the Unity default. PCSS is a more computationally expensive technique that produces more realistic shadows.
Shadows,,Shadows,Shadows
Sharpen,,Sharpen,Sharpen
Shift,,Shift,Shift
Should player hands hold objects?,,Should player hands hold objects?,Should player hands hold objects?
Should the hidden area be semi-transparent when hiding?,,Should the hidden area be semi-transparent when hiding?,Should the hidden area be semi-transparent when hiding?
Should the object cast shadows? It's a good idea to disable this for ceiling objects.,,Should the object cast shadows? It's a good idea to disable this for ceiling objects.,Should the object cast shadows? It's a good idea to disable this for ceiling objects.
Should the object snap to any grid points?,,Should the object snap to any grid points?,Should the object snap to any grid points?
Should the object snap to any snap points?,,Should the object snap to any snap points?,Should the object snap to any snap points?
Should the object survive loading between saves and mods?,,Should the object survive loading between saves and mods?,Should the object survive loading between saves and mods?
Should this object go into player hands?,,Should this object go into player hands?,Should this object go into player hands?
Should this object receive grid lines projected onto it?,,Should this object receive grid lines projected onto it?,Should this object receive grid lines projected onto it?
Show For Grid,,Show For Grid,Show For Grid
Show For Snap Points,,Show For Snap Points,Show For Snap Points
Show Hand,,Show Hand,Show Hand
Show Lines,,Show Lines,Show Lines
Show When Not Snapping,,Show When Not Snapping,Show When Not Snapping
Show floating Steam Avatars where the player is seated.,,Show floating Steam Avatars where the player is seated.,Show floating Steam Avatars where the player is seated.
Show hand to all players.,,Show hand to all players.,Show hand to all players.
Show hand to blue.,,Show hand to blue.,Show hand to blue.
Show hand to brown.,,Show hand to brown.,Show hand to brown.
Show hand to chosen player.,,Show hand to chosen player.,Show hand to chosen player.
Show hand to green.,,Show hand to green.,Show hand to green.
Show hand to orange.,,Show hand to orange.,Show hand to orange.
Show hand to pink.,,Show hand to pink.,Show hand to pink.
Show hand to purple.,,Show hand to purple.,Show hand to purple.
Show hand to red.,,Show hand to red.,Show hand to red.
Show hand to teal.,,Show hand to teal.,Show hand to teal.
Show hand to white.,,Show hand to white.,Show hand to white.
Show hand to yellow.,,Show hand to yellow.,Show hand to yellow.
Show only servers that your friends are in.,,Show only servers that your friends are in.,Show only servers that your friends are in.
Show-Hide Note,,Show/Hide Note,Show/Hide Note
Showing Hand,,Showing Hand,Showing Hand
Shuffle,,Shuffle,Shuffle
Sideways,,Sideways,Sideways
Silver 500,,Silver 500,Silver 500
Singleplayer,,Singleplayer,Singleplayer
Size,,Size,Size
Size Of Collapsed Section,,Size Of Collapsed Section,Size Of Collapsed Section
Size of the UI.,,Size of the UI.,Size of the UI.
"Size of the play area, includes the size of the invisible walls and camera zoom (Default = 0.5).",,"Size of the play area, includes the size of the invisible walls and camera zoom (Default = 0.5).","Size of the play area, includes the size of the invisible walls and camera zoom (Default = 0.5)."
Skeleton Knight,,Skeleton Knight,Skeleton Knight
Skip Empty Hands,,Skip Empty Hands,Skip Empty Hands
Skip to the next audioclip?,,Skip to the next audioclip?,Skip to the next audioclip?
Skip to the start or previous audioclip?,,Skip to the start or previous audioclip?,Skip to the start or previous audioclip?
Skips players who have nothing in their hands.,,Skips players who have nothing in their hands.,Skips players who have nothing in their hands.
Sky,,Sky,Sky
Smooths the edges of objects to reduce jaggies. Costly performance.,,Smooths the edges of objects to reduce jaggies. Costly performance.,Smooths the edges of objects to reduce jaggies. Costly performance.
"Smooths the edges of objects to reduce jaggies. Less costly than MSAA, but will slightly blur textures. (Post Processing SMAA)",,"Smooths the edges of objects to reduce jaggies. Less costly than MSAA, but will slightly blur textures. (Post Processing SMAA)","Smooths the edges of objects to reduce jaggies. Less costly than MSAA, but will slightly blur textures. (Post Processing SMAA)"
Snap,,Snap,Snap
Snap Point Creation Tags,,Snap Point Creation Tags,Snap Point Creation Tags
Snap Point Tags,,Snap Point Tags,Snap Point Tags
Snap points are just basic snap points so the object snaps into place like a magnet. Delete a snap point by clicking on it.,,Snap points are just basic snap points so the object snaps into place like a magnet. Delete a snap point by clicking on it.,Snap points are just basic snap points so the object snaps into place like a magnet. Delete a snap point by clicking on it.
Snapping,,Snapping,Snapping
Solitaire,,Solitaire,Solitaire
Solve,,Solve,Solve
Sort,,Sort,Sort
Sort Existing,,Sort Existing,Sort Existing
Sort Games:,,Sort Games:,Sort Games:
Sounds,,Sounds,Sounds
Space,,Space,Space
Spades,,Spades,Spades
Spawn,,Spawn,Spawn
Spawn In Air,,Spawn In Air,Spawn In Air
Spawn Snap-To-Object,,Spawn Snap-To-Object,Spawn Snap-To-Object
Spawning Hides Components,,Spawning Hides Components,Spawning Hides Components
Special Thanks,,Special Thanks,Special Thanks
Specular Color,,Specular Color,Specular Color
Specular Intensity,,Specular Intensity,Specular Intensity
Specular Sharpness,,Specular Sharpness,Specular Sharpness
Split,,Split,Split
Split the deck into multiple stacks.,,Split the deck into multiple stacks.,Split the deck into multiple stacks.
Spread,,Spread,Spread
Spread cards out on table.,,Spread cards out on table.,Spread cards out on table.
Spring,,Spring,Spring
Spring Joint,,Spring Joint,Spring Joint
Square,,Square,Square
Stackable,,Stackable,Stackable
Stacks like poker chips.,,Stacks like poker chips.,Stacks like poker chips.
Stacks like poker chips. (Note: custom collider will only determine the thickness of the stack),,Stacks like poker chips. (Note: custom collider will only determine the thickness of the stack),Stacks like poker chips. (Note: custom collider will only determine the thickness of the stack)
Stand Up,,Stand Up,Stand Up
Standard Deck,,Standard Deck,Standard Deck
Start,,Start,Start
State,,State,State
Static,,Static,Static
Static Friction,,Static Friction,Static Friction
Stationary grid drawn in world space.,,Stationary grid drawn in world space.,Stationary grid drawn in world space.
Stats Monitor,,Stats Monitor,Stats Monitor
Steam ID,,Steam ID,Steam ID
Sticky,,Sticky,Sticky
Sticky Cards,,Sticky Cards,Sticky Cards
Sticky Grab,,Sticky Grab,Sticky Grab
StickyCardsTooltip,,"When picked up, cards above the grabbed card will also be lifted.","When picked up, cards above the grabbed card will also be lifted."
Stop Looking For Players,,Stop Looking For Players,Stop Looking For Players
Stop Search,,Stop Search,Stop Search
Stop showing hand.,,Stop showing hand.,Stop showing hand.
Stopwatch,,Stopwatch,Stopwatch
Store,,Store,Store
Store mod data on disk to speed up mod loading.,,Store mod data on disk to speed up mod loading.,Store mod data on disk to speed up mod loading.
Straighten self upright when picked up.,,Straighten self upright when picked up.,Straighten self upright when picked up.
Strategy Games,,Strategy Games,Strategy Games
