Key,Desc,Default,Chinese (Traditional)
Number of pages to compensate for pdf page numbering being offset from actual page numbering.,,Number of pages to compensate for pdf page numbering being offset from actual page numbering.,PDF 檔案實際頁數偏移的頁數補償。
Number of people currently playing Tabletop Simulator,,Number of people currently playing Tabletop Simulator,目前遊玩桌遊模擬器的人數
Number of puzzle pieces.,,Number of puzzle pieces.,拼圖數量
OC,,OC,原創角色
Objects,,Objects,物件
Objects Per Group,,Objects Per Group,每組物件
Objects are not hidden in hands.,,Objects are not hidden in hands.,不隱藏手中的物件
Objects in queue.,,Objects in queue.,行列中的物件。
Objects snap to both the lines and the center of the grid.,,Objects snap to both the lines and the center of the grid.,物件可吸附在格線和網格中心。
Objects snap to center of each grid location.,,Objects snap to center of each grid location.,物件可吸附在網格中心。
Objects snap to line intersections.,,Objects snap to line intersections.,物件可吸附在線條交點。
Objects will be hidden in area.,,Objects will be hidden in area.,區域內的物件將隱藏。
"Objects will only be included in a drag selection if this is enabled, or if the player holds the key.",,"Objects will only be included in a drag selection if this is enabled, or if the player holds the key.",若此項啟用，物件將僅可使用拖放選取。相反則需要按住快速鍵。
Oceanic Proxy,,Oceanic Proxy,大洋洲代理
Octagon,,Octagon,八角桌
Off,,Off,關閉
Offset,,Offset,偏移度
Offset for the Field of View of Fog of War revealed.,,Offset for the Field of View of Fog of War revealed.,顯示的戰爭迷霧的可視範圍偏移度。
Ogre,,Ogre,食人魔
Ok,,Ok,確定
Old school way to connect with IP and Port.,,Old school way to connect with IP and Port.,使用傳統的 IP 位址及通訊埠進行連線。
On-Screen Keyboard,,On-Screen Keyboard,虛擬鍵盤
On-screen Keyboard Echo,,On-screen Keyboard Echo,虛擬鍵盤回饋音
On-screen Keyboard Scale,,On-screen Keyboard Scale,虛擬鍵盤尺寸
One Last Thing! Time for some mayhem! Press the 'Flip' button on the top bar!,,"One Last Thing! Time for some mayhem!
Press the 'Flip' button on the top bar!","最後一件事！是時候大破壞啦！
點擊頂部選單的「翻轉」按鈕吧！"
Only invited people can join.,,Only invited people can join.,僅限收到邀請的人加入。
Only the hand owner can see in their hand.,,Only the hand owner can see in their hand.,只有持有者可以看到手牌。
Only your friends can join.,,Only your friends can join.,只有您的好友可以加入。
Opacity,,Opacity,不透明度
Opacity Of Drop Indicator,,Opacity Of Drop Indicator,放下指示不透明度
Opacity Of Spawn Indicator,,Opacity Of Spawn Indicator,生成指示不透明度
Open,,Open,開啟
Open folder in OS,,Open folder in OS,在作業系統中開啟資料夾
Opposing players' pointers will be hidden in area.,,Opposing players' pointers will be hidden in area.,區域內隱藏對手玩家的游標。
Options,,Options,選項
Options -) Info,,Options -> Info,選項→資訊
Orange,,Orange,橙色
Orc,,Orc,半獸人
Order,,Order,順序
Orient Object Delay,,Orient Object Delay,導向物件延遲
Original Controls,,Original Controls,原始控制
Original Games,,Original Games,原創遊戲
Overwrite,,Overwrite,覆蓋
Overwrite theme {0}?,,Overwrite theme {0}?,是否要覆蓋主題「{0}」呢？
Overwrite {0}?,,Overwrite {0}?,是否要覆蓋「{0}」呢？
PDF File,,PDF File,PDF 檔案
PDF Viewer,,PDF Viewer,PDF 檢視器
PERMISSIONS,,Permissions,權限
PM (Global),,PM (Global),私訊（全域）
PM (In Game),,PM (In Game),私訊（遊戲內）
Pachisi,,Pachisi,印度十字戲
Pad Icons Always On,,Pad Icons Always On,手把圖示永遠顯示
Pad Up = Teleport,,Pad Up = Teleport,十字鍵（上）＝傳送
Padding,,Padding,邊距
Page,,Page,頁面
Page Offset,,Page Offset,頁面偏移度
Painting,,Painting,繪畫
Pan,,Pan,追拍
Pan Camera,,Pan Camera,移動鏡頭
Particle Effects,,Particle Effects,粒子效果。
Party Games,,Party Games,派對遊戲
Pass Turns,,Pass Turns,跳過回合
Password,,Password,密碼
Paste,,Paste,貼上
"Paste clipboard, replacing text.",,"Paste clipboard, replacing text.",貼上剪貼簿內容以取代文字。
Pawn,,Pawn,兵
Pawn Cast Iron,,Pawn Cast Iron,鑄鐵兵
Pawn Chrome,,Pawn Chrome,鉻金屬兵
Pawn Dark,,Pawn Dark,深色兵
Pawn Light,,Pawn Light,淡色兵
Pawn Supporters,,Pawn Supporters,支持者限定兵
Peek Cards & Objects,,Peek Cards & Objects,偷看卡片及物品
Peeking,,Peeking,偷看
Pen,,Pen,畫筆
Perfect! Now let's move the entire deck of cards.,,Perfect! Now let's move the entire deck of cards.,完美！現在來移動整疊牌堆吧。
Persistent,,Persistent,持久化
Physical UI Screen,,Physical UI Screen,物理介面
Physics,,Physics,物理
Physics are slightly toned down. Objects that are at rest will no longer interact with other objects.,,Physics are slightly toned down. Objects that are at rest will no longer interact with other objects.,物理效果略微降低。靜止物件將停止與其他物件互動。
Pick Up,,Pick Up,撿起
Picture-in-Picture,,Picture-in-Picture,畫中畫
Piecepack,,Piecepack,Piecepack
Pieces,,Pieces,棋子
Ping to player,,Ping to player,網路延遲
Pink,,Pink,粉色
Pivot,,Pivot,樞軸
Pivot Point,,Pivot Point,樞軸點
Pixel,,Pixel,像素
Pixel Paint,,Pixel Paint,像素畫
Placeholder,,Placeholder,預留位置
Plastic,,Plastic,塑膠製
Play Area,,Play Area,遊玩區域
Play Scripts,,Play Scripts,使用腳本
"Play a solo game, or create your own custom games. Great for prototyping and testing.",,"Play a solo game, or create your own custom games. Great for prototyping and testing.",遊玩單人遊戲，或是建立自訂遊戲。很適合測試遊戲。
"Play by yourself, great for creating games or playing solo games.",,"Play by yourself, great for creating games or playing solo games.",單獨遊玩，很適合製作遊戲或遊玩單人遊戲。
Play games with people online.,,Play games with people online.,與線上玩家一同遊玩遊戲。
Play on the same computer with multiple people.,,Play on the same computer with multiple people.,使用同一電腦進行多人遊戲。
Play with multiple people on the same computer taking turns.,,Play with multiple people on the same computer taking turns.,使用同一電腦輪流進行多人遊戲。
Play with other people.,,Play with other people.,同其他人一同遊玩。
Player 1,,Player 1,玩家 1
Player 1's Turn,,Player 1's Turn,玩家 1 的回合
Player Name,,Player Name,玩家名稱
Player Names,,Player Names,玩家名稱
Player Pawns,,Player Pawns,玩家的兵
Players,,Players,玩家
Players on the same team can see each others hidden info and communicate with team text chat and team voice chat .,,Players on the same team can see each others hidden info and communicate with team text chat and team voice chat .,相同小組的玩家可以查看彼此的隱藏資訊，並且可以使用小組聊天室和小組語音聊天進行交流。
Playing Time,,Playing Time,遊玩時間
Playlist,,Playlist,播放列表
Please enter password,,Please enter password,請輸入密碼
Please pickup the card using ({0}) on either controller.,,Please pickup the card using <{0}> on either controller.,請請用任一控制器的＜{0}＞撿起卡片。
Please pickup the card using your finger.,,Please pickup the card using your finger.,請用手指撿起卡片。
Please pickup the card with (Left Mouse Button).,,Please pickup the card with <Left Mouse Button>.,請用＜滑鼠左鍵＞撿起卡片。
Please pickup the card with (Right Bumper).,,Please pickup the card with <Right Bumper>.,請用＜RB＞撿起卡片。
Point,,Point,吸附點
Pointer,,Pointer,游標
Pointer - Zoom (Click) - Pan Camera (Hold),,Pointer / Zoom (Click) / Pan Camera (Hold),游標／縮放（點擊）／移動鏡頭（按住）
Poker,,Poker,撲克桌
Poker Chips,,Poker Chips,撲克籌碼
Pop-out,,Pop-out,彈出
Port (11155 is default),,Port (11155 is default),通訊埠（預設為 11155）
Port (Default is 11155),,Port (Default is 11155),通訊埠（預設為 11155）
Portraits,,Portraits,大頭貼
Position,,Position,位置
Position of the anchor relative to the connected Rigidbody.,,Position of the anchor relative to the connected Rigidbody.,連結剛體的錨點位置。
Post AA,,Post AA,後處理反鋸齒技術
Post processing sharpen effect to enhance the clarity of textures.,,Post processing sharpen effect to enhance the clarity of textures.,後處理銳化效果以提高紋理的清晰度。
"Precise drawing, draw on locked objects, and change the color. +-- to scale the thickness.",,"Precise drawing, draw on locked objects, and change the color. +/- to scale the thickness.",精確繪畫，在鎖定物件上繪畫，並更改顏色。使用＜+＞或＜-＞調整粗細。
Preset Quality,,Preset Quality,預設品質
Presets,,Presets,預設
Press (Space) to reset the camera.,,Press <Space> to reset the camera.,按下＜空白鍵＞重設鏡頭。
Press F11 to quickly hide the UI. SHIFT + F11 for HD Screenshots,,Press F11 to quickly hide the UI. SHIFT + F11 for HD Screenshots,點擊＜F11＞可隱藏介面；＜Shift + F11＞可擷取高畫質螢幕截圖。
"Press and hold the left mouse button to pick up objects. Grab and hold to pick up stacks and decks. To grab a single item from stacks and decks, grab and move your mouse off the deck quickly.",,"Press and hold the left mouse button to pick up objects. Grab and hold to pick up stacks and decks. To grab a single item from stacks and decks, grab and move your mouse off the deck quickly.",按住＜滑鼠左鍵＞拿取物件。長按拿取牌堆及整堆物件。按住並快速移動游標可以從牌堆及整堆物件中拿取最上面的物品。
Press and hold your finder on the deck for a second then drag.,,Press and hold your finder on the deck for a second then drag.,在牌堆上長按一秒鐘，然後拖取。
Press or the middle mouse button to quickly zoom to where your mouse is pointing.,,Press or the middle mouse button to quickly zoom to where your mouse is pointing.,按下快速鍵或＜滑鼠中鍵＞以快速放大游標所在位置。
Press plus a number to load up a saved camera view. You can also do this in the Global Contextual Menu.,,Press plus a number to load up a saved camera view. You can also do this in the Global Contextual Menu.,使用＜數字鍵＞載入儲存的視角。您也可以在全域環境選單中執行此動作。
Press the key to bring down the curtain as your blindfold. You can also bring this up in the Global Contextual Menu.,,Press the key to bring down the curtain as your blindfold. You can also bring this up in the Global Contextual Menu.,按下＜B＞降下布幕作為您的眼罩。您也可以在全域環境選單中執行此動作。
Press the key to magnify everything on the table. You can also zoom in & out with the scroll wheel on your mouse.,,Press the key to magnify everything on the table. You can also zoom in & out with the scroll wheel on your mouse.,按下＜M＞放大桌面。您也可以使用＜滑鼠滾輪＞調整縮放大小。
Press the key to quickly bring up the main menu.,,Press the key to quickly bring up the main menu.,按下＜ESC＞快速開啟主選單。
"Press to lower an object you're holding or to pick up other objects. Alternatively, you can press down with the right mouse button.",,"Press to lower an object you're holding or to pick up other objects. Alternatively, you can press down with the right mouse button.",按下＜T＞放下手中的物件或拿取其他物件。或者，您可以按下＜滑鼠右鍵＞。
Press to talk to only those people on the same team as you.,,Press to talk to only those people on the same team as you.,按下以和同組玩家進行語音。
Preview,,Preview,預覽
Previous State,,Previous State,上一狀態
Primary,,Primary,主要
Private,,Private,私密
Profanity Filter,,Profanity Filter,不雅內容篩選
Progress,,Progress,進度
Projection,,Projection,投射
Promote,,Promote,晉陞
Promoted,,Promoted,已晉陞
Props,,Props,道具
Proxy,,Proxy,代理
"Proxy servers will increase latency for clients, but should ensure a connection. Clients will only connect through the proxy server as a last resort.",,"Proxy servers will increase latency for clients, but should ensure a connection. Clients will only connect through the proxy server as a last resort.",代理伺服器會增加用戶端的延遲，但也會確保連線穩定。用戶端只會在必要狀況下透過代理伺服器來進行連線。
Public,,Public,公開
Pure,,Pure,純色
Pure Mode: Floor Mist,,Pure Mode: Floor Mist,純色模式：地板迷霧
Pure Mode: Hide Custom Image,,Pure Mode: Hide Custom Image,純色模式：隱藏自訂圖案
Purple,,Purple,紫色
Push To Talk,,Push To Talk,即按即說
Puzzle Games,,Puzzle Games,解謎遊戲
Quarter,,Quarter,25 分硬幣
Queen,,Queen,王后
Queen Cast Iron,,Queen Cast Iron,鑄鐵王后
Queen Chrome,,Queen Chrome,鉻金屬王后
Queen Dark,,Queen Dark,深色王后
Queen Light,,Queen Light,淡色王后
Queen Supporters,,Queen Supporters,支持者限定王后
Quick Zoom,,Quick Zoom,快速縮放
Quick tap on an object.,,Quick tap on an object.,在物件上快速點擊。
Quick way to change graphical settings without having to tweak individual options. Only use low or very low if you have FPS issues.,,Quick way to change graphical settings without having to tweak individual options. Only use low or very low if you have FPS issues.,無需設定每一選項，快速更改圖像設定。若遇到幀率問題，請選用「低」或「極低」。
Quickly drag away from the deck.,,Quickly drag away from the deck.,快速從牌堆中拖取。
Quit playing.,,Quit playing.,停止遊玩。
REMOVE BLINDFOLD,,Remove Blindfold,移除蒙眼布
RIGHT_THEN_DOWN,,Right / Down,向右／向下
RIGHT_THEN_UP,,Right / Up,向右／向上
RIGIDBODY,,Rigidbody,剛體
ROTATIONS,,Rotations,旋轉角度
RPG,,RPG,角色扮演遊戲（RPG）
RPG Attack,,RPG Attack,RPG 攻擊
RPG Die,,RPG Die,RPG 死亡
RPG Figurines - Protofactor,,RPG Figurines - Protofactor,RPG 塑像（Protofactor 公司）
"RPG Figurines are fully animated. Use 1, 2, 3 to activate.",,"RPG Figurines are fully animated. Use 1, 2, 3 to activate.",RPG 塑像擁有完整動畫效果。使用數字 1、2、3 以分別啟用。
RPG Kit,,RPG Kit,RPG 元件
RPG Mode,,RPG Mode,RPG 模式
Raise,,Raise,提起
Raise-Randomize,,Raise/Randomize,提起／隨機排列
Random,,Random,隨機
Random Card,,Random Card,隨機卡片
Random Domino,,Random Domino,隨機多米諾骨牌
Random Mahjong,,Random Mahjong,隨機麻將牌
Randomize,,Randomize,隨機區
Randomize - Raise,,Randomize / Raise,隨機排列／提起
Randomize Zone Load Prompt,,,隨機區載入提示
Randomize Zone Tags,,Randomize Zone Tags,隨機區標籤
Randomize all objects in this zone?,,Randomize all objects in this zone?,是否要隨機排列此區域內的所有物件呢？
Randomizes rotation when shaken and spins when thrown.,,Randomizes rotation when shaken and spins when thrown.,搖動及拋擲旋轉時，隨機旋轉角度。
Randomly play an audioclip from a the playlist?,,Randomly play an audioclip from a the playlist?,是否要隨機播放列表中的音訊呢？
Range of Fog of War revealed.,,Range of Fog of War revealed.,戰爭迷霧範圍已顯示。
Ranger,,Ranger,遊俠
ReHide Objects,,Re-Hide Objects,重新隱藏物件
Read more on our Knowledge Base.,,Read more on our Knowledge Base.,更多內容請造訪我們的官方知識庫！
Real,,Real,真實
Rectangle,,Rectangle,矩形
Rectangle (Rounded),,Rectangle (Rounded),圓角矩形
Red,,Red,紅色
Red 100,,Red 100,紅色籌碼 100
Red Square,,Red Square,紅色方積木
Reflection Intensity,,Reflection Intensity,反射強度
Refresh server list,,Refresh server list,重新整理伺服器列表
Regal,,Regal,富豪房間
Region,,Region,地區
Remove all {0} controls?,,Remove all {0} controls?,是否要移除所有「{0}」的控制呢？
Remove block on {0}?,,Remove block on {0}?,是否要移除「{0}」的封鎖呢？
Rename,,Rename,重新命名
Rename theme?,,Rename theme?,是否要重新命名主題呢？
Render Drawing over UI,,Render Drawing Over UI,在介面上渲染繪畫
Repeat current audioclip?,,Repeat current audioclip?,是否要循環播放目前音訊呢？
Reset,,Reset,重設
Reset All,,Reset All,重設全部
Reset Camera,,Reset Camera,重設鏡頭
Reset Data,,Reset Data,重設資料
Reset Fog,,Reset Fog,重設迷霧
Reset View,,Reset View,重設視角
Reset the camera!,,Reset the camera!,重設鏡頭！
Reset to Default,,Reset to Default,重設為預設值
Reset to default Light scheme (CTRL-F12),,Reset to default Light scheme (CTRL-F12),重設至預設光照方案（Ctrl + F12）
"Resets all saved data (General, Controls, UI, etc).",,"Resets all saved data (General, Controls, UI, etc).",重設所有儲存資料（一般、控制、介面等）。
Resets the camera to its default position based on your seat position. This can be overridden by saving a camera view by pressing + .,,Resets the camera to its default position based on your seat position. This can be overridden by saving a camera view by pressing + .,重設鏡頭至座位的預設位置。使用＜Ctrl + 0＞可以覆蓋預設視角。
Resolution,,Resolution,解析度
Resume Game,,Resume Game,繼續遊戲
Reveal Color,,Reveal Color,選取顏色顯示
Reveal FoV,,Reveal FoV,顯示可視範圍
Reveal FoV Offset,,Reveal FoV Offset,顯示可視範圍偏移度
Reveal Fog of War,,Reveal Fog of War,顯示戰爭迷霧
Reveal Height,,Reveal Height,顯示高度
Reveal Range,,Reveal Range,顯示範圍
Reveal to all.,,Reveal to all.,向所有玩家展示。
Reveal to blue.,,Reveal to blue.,向藍色展示。
Reveal to brown.,,Reveal to brown.,向棕色展示。
Reveal to green.,,Reveal to green.,向綠色展示。
Reveal to orange.,,Reveal to orange.,向橙色展示。
Reveal to pink.,,Reveal to pink.,向粉色展示。
Reveal to purple.,,Reveal to purple.,向紫色展示。
Reveal to red.,,Reveal to red.,向紅色展示
Reveal to teal.,,Reveal to teal.,向深青色展示。
Reveal to white.,,Reveal to white.,向白色展示。
Reveal to yellow.,,Reveal to yellow.,向黃色展示。
Revealer,,Revealer,展示者
Reverse,,Reverse,反轉
Reverse Hiding,,Reverse Hiding,反轉隱藏
Reverse Order,,Reverse Order,反轉順序
Reversed,,Reversed,反轉
ReversedSort,,When enabled the sort order inside a group is reversed.,啟用後反轉分組的排序。
Reverses the turn order from the default.,,Reverses the turn order from the default.,將預設順序逆轉。
Reversi,,Reversi,黑白棋
Reversi Chip,,Reversi Chip,黑白棋棋子
Rewind Time,,Rewind Time,倒轉時間
Right,,Right,右
Right Pad Down,,Right Pad Down,十字鍵（右）
Right Tool Hotkeys,,Right Tool Hotkeys,右側工具快速鍵
Right click on an object for more options.,,"Right click on an object
for more options.",右鍵點擊物件以開啟選單
Right click on non-objects for global menu options.,,"Right click on non-objects for
global menu options.",右鍵點擊非物件以開啟全域選單
Rock,,Rock,岩石
Role-playing Games,,Role-playing Games,角色扮演遊戲
Roll,,Roll,擲骰子
Rook,,Rook,城堡
Rook Cast Iron,,Rook Cast Iron,鑄鐵城堡
Rook Chrome,,Rook Chrome,鉻金屬城堡
Rook Dark,,Rook Dark,深色城堡
Rook Light,,Rook Light,淺色城堡
Rook Supporters,,Rook Supporters,支援者限定城堡
Rooms,,Rooms,房間
Rotate,,Rotate,旋轉
Rotate Camera,,Rotate Camera,旋轉鏡頭
Rotate Camera - Reset (Click),,Rotate Camera / Reset (Click),旋轉鏡頭／重設（點擊）
Rotate Left,,Rotate Left,向左旋轉
Rotate Other Axis,,Rotate Other Axis,順／逆時針旋轉
Rotate Right,,Rotate Right,向右旋轉
Rotate Snap,,Rotate Snap,旋轉吸附
"Rotate snap points are the same as the snap points, except you can change the rotation position. So if you turned a snap point 30 degrees to the right, when you place an object on top if it, it will snap into place and also rotate 30 degrees.",,"Rotate snap points are the same as the snap points, except you can change the rotation position. So if you turned a snap point 30 degrees to the right, when you place an object on top if it, it will snap into place and also rotate 30 degrees.",旋轉吸附點跟一般吸附點相同，只是可以更改旋轉位置。例如設定吸附點為向右 30 度，將物件置於其頂部時，物件會吸附在上面並同樣旋轉 30 度。
Rotation,,Rotation,旋轉角度
Rotation Degrees,,Rotation Degrees,旋轉角度
Rotation Value,,Rotation Value,旋轉數值
Round,,Round,圓桌
Round Glass,,Round Glass,玻璃圓桌
Rounded,,Rounded,圓角
Ruler mode,,Ruler mode,直尺模式
Rules,,Rules,規則
SAVE & EXIT,,Save & Exit,儲存並退出
SAVE & LOAD,,Save & Load,儲存及載入
SAVE GAME,,Save Game,儲存遊戲
SAVED OBJECTS,,Saved Objects,已儲存物件
SERVER,,Server,伺服器
SORT_BY_ADDED,,Added Time,延長時間
SORT_BY_DESC,,Description,簡介
SORT_BY_GM,,GM Notes,遊戲主持者筆記
SORT_BY_MEMO,,Memo,備忘錄
SORT_BY_NAME,,Name,名稱
SORT_BY_VALUE,,Value,數值
SORT_NONE,,None,無
SOUND,,Sound,音效
SOUTHWARD,,Southward,向南
SPOTLIGHT,,Spotlight,焦點資訊
SSAO,,SSAO,SSAO
SUBMIT,,Submit,提交
Sandbox,,Sandbox,積木沙盒
Saturation,,Saturation,飽和度
Save,,Save,儲存
Save & Play,,Save & Play,儲存及遊玩
Save Camera,,Save Camera,儲存鏡頭
Save Camera View,,Save Camera View,儲存鏡頭視角
Save Object,,Save Object,儲存物件
Save Object(s),,Save Object(s),儲存物件
Save a game you have playing for a long time and load it up again when you're ready to play it again.,,Save a game you have playing for a long time and load it up again when you're ready to play it again.,儲存一局長時間遊玩的遊戲，並在準備好重開遊戲時再次載入。
Save current theme as...,,Save current theme as...,儲存目前主題為……
Save to Chest,,Save to Chest,儲存至箱子
Saves scripting changes to the last open save and reloads the game with any script changes. Any changes that were not script related will be lost.,,Saves scripting changes to the last open save and reloads the game with any script changes. Any changes that were not script related will be lost.,在上次開啟的存檔中儲存腳本更改，並重新載入遊戲。任何與腳本無關的更改都將遺失。
Saving,,Saving,儲存
Scale,,Scale,尺寸
Scale Down,,Scale Down,縮小尺寸
Scale Up,,Scale Up,放大尺寸
Scaling,,Scaling,尺寸調整
"Scaling applied to card only, not to base.",,"Scaling applied to card only, not to base.",尺寸調整僅適用卡片，不適用基本設定。
Scripting,,Scripting,腳本區
Scripting 1,,Scripting 1,腳本 1
Scripting 10,,Scripting 10,腳本 10
Scripting 2,,Scripting 2,腳本 2
Scripting 3,,Scripting 3,腳本 3
Scripting 4,,Scripting 4,腳本 4
Scripting 5,,Scripting 5,腳本 5
Scripting 6,,Scripting 6,腳本 6
Scripting 7,,Scripting 7,腳本 7
Scripting 8,,Scripting 8,腳本 8
Scripting 9,,Scripting 9,腳本 9
Scripting Editor,,Scripting Editor,腳本編輯器
Scripting Zone Tags,,Scripting Zone Tags,腳本區標籤
Scripting: Automated,,Scripting: Automated,腳本區：自動化
Search,,Search,搜尋
Search privately without others being able to see what's inside.,,Search privately without others being able to see what's inside.,執行防止他人看到內部的秘密搜尋。
Search publicly with others being able to see what's inside.,,Search publicly with others being able to see what's inside.,執行允許他人看到內部的公開搜尋。
Secondary,,Secondary,次要
Seconds,,Seconds,秒數
See everyone who has contributed to Tabletop Simulator's development.,,See everyone who has contributed to Tabletop Simulator's development.,查看對桌遊模擬器開發有貢獻的人們。
See-through,,See-through,透視
Select,,Select,選取
Selection Height,,Selection Height,選取高度
Selection Style,,Selection Style,選取風格
Selects the microphone to use for Voice Chat.,,Selects the microphone to use for Voice Chat.,選取用於語音聊天的麥克風。
Semi-Lock,,Semi-Lock,部分鎖定
Server Browser,,Server Browser,伺服器瀏覽器
Server IP,,Server IP,伺服器 IP 位址
Server Name,,Server Name,伺服器名稱
Server Password,,Server Password,伺服器密碼
Server Type,,Server Type,伺服器類型
Set Camera 0,,Set Camera 0,設定鏡頭 0
Set UI Visibility,,Set UI Visibility,設定介面可見性
Sets the Radius,,Sets the Radius,設定範圍
Shadow Quality,,Shadow Quality,陰影品質
Shadows,,Shadows,陰影
Sharpen,,Sharpen,銳化度
Shift,,Shift,Shift
Should player hands hold objects?,,Should player hands hold objects?,玩家是否要可以持有物件呢？
Should the hidden area be semi-transparent when hiding?,,Should the hidden area be semi-transparent when hiding?,隱藏區域在隱藏時是否要顯示為半透明呢？
Should the object cast shadows? It's a good idea to disable this for ceiling objects.,,Should the object cast shadows? It's a good idea to disable this for ceiling objects.,物件是否要投射陰影呢？頂部物件最好停用此項。
Should the object snap to any grid points?,,Should the object snap to any grid points?,物件是否要吸附在任何網格點上呢？
Should the object snap to any snap points?,,Should the object snap to any snap points?,物件是否要吸附在任何吸附點上呢？
Should the object survive loading between saves and mods?,,Should the object survive loading between saves and mods?,是否要在載入存檔和模組時保留此物件呢？
Should this object go into player hands?,,Should this object go into player hands?,此物件是否要可以放入手牌區呢？
Should this object receive grid lines projected onto it?,,Should this object receive grid lines projected onto it?,物件上是否要擁有格線投射呢？
Show For Grid,,Show For Grid,顯示網格
Show For Snap Points,,Show For Snap Points,顯示吸附點
Show Hand,,Show Hand,顯示手牌區
Show Lines,,Show Lines,顯示直線
Show When Not Snapping,,Show When Not Snapping,沒有吸附點顯示
Show floating Steam Avatars where the player is seated.,,Show floating Steam Avatars where the player is seated.,在玩家座位上顯示 Steam 個人圖示。
Show hand to all players.,,Show hand to all players.,向所有玩家展示手牌區。
Show hand to blue.,,Show hand to blue.,向藍色玩家展示手牌區。
Show hand to brown.,,Show hand to brown.,向棕色玩家展示手牌區。
Show hand to chosen player.,,Show hand to chosen player.,向特定玩家展示手牌區。
Show hand to green.,,Show hand to green.,向綠色玩家展示手牌區。
Show hand to orange.,,Show hand to orange.,向橙色玩家展示手牌區。
Show hand to pink.,,Show hand to pink.,向粉色玩家展示手牌區。
Show hand to purple.,,Show hand to purple.,向紫色玩家展示手牌區。
Show hand to red.,,Show hand to red.,向紅色玩家展示手牌區。
Show hand to teal.,,Show hand to teal.,向深青色玩家展示手牌區。
Show hand to white.,,Show hand to white.,向白色玩家展示手牌區。
Show hand to yellow.,,Show hand to yellow.,向黃色玩家展示手牌區。
Show only servers that your friends are in.,,Show only servers that your friends are in.,只顯示好友伺服器。
Show-Hide Note,,Show/Hide Note,顯示／隱藏 筆記
Showing Hand,,Showing Hand,展示手牌區
Shuffle,,Shuffle,洗牌
Sideways,,Sideways,橫置
Silver 500,,Silver 500,銀色籌碼 500
Singleplayer,,Singleplayer,單人遊戲
Sir Loin,,,洛伊恩爵士
Size,,Size,大小
Size Of Collapsed Section,,Size Of Collapsed Section,物件摺疊的尺寸
Size of the UI.,,Size of the UI.,遊戲介面的尺寸。
"Size of the play area, includes the size of the invisible walls and camera zoom (Default = 0.5).",,"Size of the play area, includes the size of the invisible walls and camera zoom (Default = 0.5).",遊戲區大小，包含隱藏牆壁和鏡頭縮放（預設為 0.5）。
Skeleton Knight,,Skeleton Knight,骷髏騎士
Skip Empty Hands,,Skip Empty Hands,跳過空手
Skip to the next audioclip?,,Skip to the next audioclip?,要跳至下一個音訊嗎？
Skip to the start or previous audioclip?,,Skip to the start or previous audioclip?,要跳至第一個或上一個音訊嗎？
Skips players who have nothing in their hands.,,Skips players who have nothing in their hands.,跳過無手牌的玩家。
Sky,,Sky,天空
Smooths the edges of objects to reduce jaggies. Costly performance.,,Smooths the edges of objects to reduce jaggies. Costly performance.,平滑物件邊緣以減少鋸齒。非常消耗效能。
"Smooths the edges of objects to reduce jaggies. Less costly than MSAA, but will slightly blur textures. (Post Processing SMAA)",,"Smooths the edges of objects to reduce jaggies. Less costly than MSAA, but will slightly blur textures. (Post Processing SMAA)",平滑物體邊緣以減少鋸齒。比 MSAA 的效能消耗更低，但是會產生輕微模糊的紋理。（後處理 SMAA）
Snap,,Snap,吸附
Snap Point Creation Tags,,Snap Point Creation Tags,已建立吸附點標籤
Snap Point Tags,,Snap Point Tags,吸附點標籤
Snap points are just basic snap points so the object snaps into place like a magnet. Delete a snap point by clicking on it.,,Snap points are just basic snap points so the object snaps into place like a magnet. Delete a snap point by clicking on it.,吸附點是可以像磁鐵一樣吸附物件的節點。想要移除吸附點，請點擊它。
Snapping,,Snapping,吸附
Solitaire,,Solitaire,接龍
Solve,,Solve,解決
Sort,,Sort,排序方式
Sort Existing,,Sort Existing,全部排序
Sort Games:,,Sort Games:,排序遊戲：
Sounds,,Sounds,音效
Space,,Space,空白鍵
Spades,,Spades,黑桃
Spawn,,Spawn,生成
Spawn In Air,,Spawn In Air,空中生成
Spawn Snap-To-Object,,Spawn Snap-To-Object,生成吸附物體
Spawning Hides Components,,Spawning Hides Components,生成時隱藏配件
Special Thanks,,Special Thanks,特別鳴謝
Specular Color,,Specular Color,鏡面反射顏色
Specular Intensity,,Specular Intensity,鏡面反射強度
Specular Sharpness,,Specular Sharpness,鏡面反射銳利度
Split,,Split,分組
Split the deck into multiple stacks.,,Split the deck into multiple stacks.,將牌堆分成多疊。
Spread,,Spread,展開
Spread cards out on table.,,Spread cards out on table.,將卡片在桌面展開。
Spring,,Spring,彈簧
Spring Joint,,Spring Joint,彈簧節點
Square,,Square,方桌
Stackable,,Stackable,可堆疊
Stacks like poker chips.,,Stacks like poker chips.,如撲克籌碼一樣堆疊。
Stacks like poker chips. (Note: custom collider will only determine the thickness of the stack),,Stacks like poker chips. (Note: custom collider will only determine the thickness of the stack),如撲克籌碼一樣堆疊。（提示：自訂碰撞體只會決定堆疊的厚度）
Stand Up,,Stand Up,起立
Standard Deck,,Standard Deck,標準牌堆
Start,,Start,開始
State,,State,狀態
Static,,Static,靜態
Static Friction,,Static Friction,靜摩擦
Stationary grid drawn in world space.,,Stationary grid drawn in world space.,在全域空間中繪製靜止網格。
